OID_,X,Y,Z
114,-183333.285500001162291,-2323070.592999998480082,969.978797522444665
115,-183298.238600000739098,-2323068.781700000166893,968.817292185523570
116,-183303.556699998676777,-2322967.669300001114607,971.216268926555244
117,-183294.796199999749660,-2322940.899000000208616,970.947576868636133
118,-183280.505800001323223,-2322928.295800000429153,970.785611924173963
119,-183239.213100001215935,-2322931.553399998694658,971.494271890361006
120,-183219.392599999904633,-2322933.116799999028444,971.438745772395691
121,-183169.841200001537800,-2322937.024599999189377,970.611056575306634
122,-183154.617100000381470,-2322933.648099999874830,970.981662161280155
123,-183102.543699998408556,-2323010.983800001442432,972.019507610307983
124,-183077.331399999558926,-2323049.586199998855591,972.044245859704802
125,-182998.184999998658895,-2323078.706799998879433,970.844387437617570
126,-182909.922400001436472,-2323076.504099998623133,970.637217766324738
127,-182848.666900001466274,-2323058.441899999976158,969.990306881016750
128,-182751.210599999874830,-2323066.110700000077486,968.902779133589547
129,-182696.564100001007318,-2323047.524799998849630,969.377953737756684
130,-182636.741799999028444,-2323047.651900000870228,967.667708325864169
131,-182616.018100000917912,-2322953.167700000107288,971.040431183850501
132,-182642.120499998331070,-2322841.271899998188019,971.212717914084351
133,-182656.627599999308586,-2322835.554299999028444,971.288701934811684
134,-182669.125300001353025,-2322825.417899999767542,971.103144862397016
135,-182689.165500000119209,-2322805.534600000828505,971.126014418556565
136,-182698.085099998861551,-2322749.911200001835823,971.490315139677932
137,-182692.718400001525879,-2322681.681200001388788,971.414984764133123
138,-182687.846900001168251,-2322640.873199999332428,971.358287798795573
139,-182657.487900000065565,-2322592.916200000792742,970.721773030845497
140,-182617.936700001358986,-2322554.835299998521805,971.487063369013413
141,-182544.421999998390675,-2322528.577100001275539,971.800543630379707
142,-182452.164200000464916,-2322517.519499998539686,971.548972169208469
143,-182605.219399999827147,-2322583.295899998396635,971.305320538760384
144,-182690.792199999094009,-2322636.064800001680851,971.206195243729326
145,-182726.464800000190735,-2322688.180300001055002,971.309698162102904
146,-182740.090300001204014,-2322755.760499998927116,971.454944900077521
147,-182757.019699998199940,-2322823.081000000238419,969.920655875396506
148,-182750.550900001078844,-2322846.474100001156330,970.268575515942985
149,-182687.483699999749660,-2322910.933800000697374,969.141149202142401
150,-182668.736499998718500,-2322926.138599999248981,969.192856793481383
151,-182647.979600001126528,-2322936.924400001764297,968.840460774733401
152,-182725.197900000959635,-2322862.199099998921156,969.834736076237505
153,-182719.472899999469519,-2322789.420200001448393,971.099960745768840
154,-182717.491399999707937,-2322679.732599999755621,971.442332769231598
155,-182732.161800000816584,-2322591.619199998676777,971.886331092039995
156,-182720.601500000804663,-2322592.528700001537800,971.636658484738859
157,-182704.086800001561642,-2322593.827799998223782,971.294796609540754
158,-182691.590599998831749,-2322603.964400000870228,970.941084441087696
159,-182551.929800000041723,-2322624.099199999123812,970.680962237874610
160,-182527.514899998903275,-2322630.594700001180172,971.012058268126793
161,-182481.272900000214577,-2322634.228300001472235,970.784961432153523
162,-182347.724300000816584,-2322626.409899998456240,969.275320031195406
163,-182873.647199999541044,-2323418.050500001758337,967.764297174479225
164,-182879.897399999201298,-2323412.981600001454353,967.848643822513054
165,-183236.880199998617172,-2323407.740200001746416,968.097288090688608
166,-183280.117499999701977,-2323450.099700000137091,968.330013188665475
167,-183414.796999998390675,-2323471.510899998247623,967.051647955106091
168,-183515.933800000697374,-2323468.102000001817942,967.807618582694658
169,-183557.236000001430511,-2323464.839499998837709,968.839493625857926
170,-183539.492699999362230,-2323429.624899998307228,968.542575110803455
171,-183139.576200000941753,-2323227.757100000977516,968.262081783903795
172,-182684.201900001615286,-2323080.534899998456240,968.723778302030041
173,-182169.203600000590086,-2322956.212999999523163,967.129138429110526
174,-182081.756400000303984,-2322921.878400001674891,966.554970141698504
175,-181874.063999999314547,-2322837.461800001561642,966.377034464445387
176,-181759.488299999386072,-2322796.086699999868870,966.790429698945218
177,-181662.398699998855591,-2322808.258600000292063,966.931000576361384
178,-181554.687500000000000,-2322812.103300001472235,967.488650730009908
179,-181391.762200001627207,-2322811.102200001478195,968.895142332723481
180,-181358.729699999094009,-2322813.681600000709295,969.054453707580251
181,-181341.147999998182058,-2322801.324400000274181,969.423724621251381
182,-181304.688700001686811,-2322781.287599999457598,970.224017464259759
183,-181260.928599998354912,-2322816.738899998366833,970.257031909044144
184,-181245.723200000822544,-2322877.421000000089407,970.791203971536675
185,-181252.698899999260902,-2322945.525699999183416,970.222268407477713
186,-181270.309300001710653,-2323086.026399999856949,970.569879301761375
187,-181288.370499998331070,-2323125.806600000709295,970.174725348720131
188,-181308.084100000560284,-2323165.457800000905991,970.272200499791552
189,-181322.487500000745058,-2323200.946800000965595,970.624379297215000
190,-181335.116000000387430,-2323213.690999999642372,970.709572205618088
191,-181347.744600001722574,-2323226.435199998319149,970.740030080983161
192,-181390.463300000876188,-2323241.406899999827147,970.268761124562957
193,-181451.939899999648333,-2323241.182900000363588,968.901870108645880
194,-181465.866000000387430,-2323249.248500000685453,968.715272352709349
195,-181510.237799998372793,-2323264.088899999856949,968.527283985117265
196,-181545.409499999135733,-2323288.800900001078844,968.572663401423483
197,-181641.601900000125170,-2323349.932900000363588,968.609130653920374
198,-181691.186200000345707,-2323410.129900000989437,969.733788124570992
199,-181652.833399999886751,-2323408.552000001072884,970.246160814887389
200,-181603.627500001341105,-2323416.975299999117851,970.748625548823952
201,-181544.028299998492002,-2323398.749499998986721,971.230917492139724
202,-181391.421300001442432,-2323296.252000000327826,971.501657370401972
203,-181306.924699999392033,-2323257.081099998205900,971.907376954075858
204,-181257.940600000321865,-2323183.100499998778105,971.788031403829791
205,-181232.440000001341105,-2323111.864100001752377,971.609230844171407
206,-181216.496399998664856,-2323035.305500000715256,971.621983851878099
207,-181197.959699999541044,-2322968.102499999105930,972.007812500000000
208,-181224.947700001299381,-2322824.122999999672174,971.308417696532388
209,-181260.095400001853704,-2322784.767900001257658,970.820570225916413
210,-181284.745900001376867,-2322759.961199998855591,970.354638713785789
211,-181323.549899999052286,-2322724.896200001239777,970.506958126367635
212,-181377.571699999272823,-2322693.218899998813868,970.659706146838744
213,-181399.272199999541044,-2322673.217799998819828,970.752585954063647
214,-181436.901900000870228,-2322665.701999999582767,970.679464932706310
215,-181456.720100000500679,-2322664.153799999505281,970.572484530248403
216,-181476.538400001823902,-2322662.605500001460314,970.332139443865117
217,-181484.796000000089407,-2322661.960299998521805,970.360457929201175
218,-181496.356600001454353,-2322661.056899998337030,970.380063496265848
219,-181526.313400000333786,-2322640.409400001168251,970.702324682118956
220,-181542.472800001502037,-2322634.569800000637770,970.748854401376775
221,-181615.138700000941753,-2322628.888900000602007,971.060007458124574
222,-181648.880100000649691,-2322635.403599999845028,970.622358563020612
223,-181764.484799999743700,-2322626.359499998390675,969.999437133292304
224,-181787.605700001120567,-2322624.550000000745058,969.722969738093525
225,-181858.619800001382828,-2322618.990699999034405,969.144773325197207
