OBJECTID,X,Y,Z
575,-183765,-2326076,974.250384
576,-183149,-2326371,980.0876317
577,-183030,-2326486,982.1457586
578,-182913,-2326460,983.1629615
579,-182825,-2325341,975.5241937
580,-182801,-2325695,976.0905565
581,-182792,-2325414,975.8948779
582,-182800,-2325519,975.9655648
583,-182808,-2325941,978.2007265
584,-182987,-2324801,978.8581137
585,-184017,-2325388,970.6701349
586,-184089,-2325171,974.3710617
587,-184094,-2325065,975.3159852
588,-184282,-2325508,971.3845496
589,-184127,-2325801,971.1487886
